ReferenceNumber,Make,PropulsionTypeId,BodyTypeId,GovRegion,KeeperTitleId,EngineSize,YearRegistered,Mass,CO2,CO,NOX,part,hc,Random number
440,VAUXHALL,1,96,London,1,1598,2002,1970,190,0.219,0.026,,0.037,0.006779668
1465,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.944062772
3434,VOLKSWAGEN,1,14,South West,2,1395,2016,1316,113,0.242,0.033,,0.048,0.514539836
1801,VAUXHALL,1,14,South West,4,1598,2016,1355,159,0.809,0.012,,0.051,0.03077936
2330,BMW,2,13,South West,5,1995,2016,1445,114,0.18,0.023,,,0.232523457
2216,FORD,2,6,South West,5,1499,2016,1425,98,0.354,0.074,,,0.50613255
1323,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.337059102
1396,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.170268983
264,TOYOTA,1,14,London,4,1998,2002,1440,212,0.76,0.04,,0.08,0.282129175
2971,VOLKSWAGEN,2,6,South West,5,2967,2016,2185,174,0.138,0.039,,,0.018580307
1846,VAUXHALL,1,14,London,2,1398,2016,1199,137,0.645,0.008,,0.044,0.447902307
2707,FORD,2,14,North West,5,1499,2016,1399,98,0.354,0.074,,,0.808579397
2419,VAUXHALL,2,6,South West,5,1598,2016,1393,89,0.268,0.047,,,0.67744626
3809,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.914777596
1720,VAUXHALL,1,14,North West,2,1598,2016,1355,159,0.809,0.012,,0.051,0.538627252
3330,TOYOTA,8,14,South West,5,1798,2016,1470,82,0.182,0.005,,0.036,0.824781064
1151,FORD,1,6,South West,2,1988,2002,1282,222,0.698,0.058,,0.056,0.296400119
371,VOLKSWAGEN,1,14,London,1,1390,2002,1220,180,0.096,0.064,,0.092,0.611476505
321,BMW,1,2,South West,1,2171,2002,1600,237,0.832,0.005,,0.091,0.825702452
1953,VAUXHALL,1,13,London,2,1398,2016,1141,118,0.463,0.01,,0.031,0.142569804
2362,VAUXHALL,1,14,London,2,1398,2016,1163,120,0.463,0.01,,0.031,0.672603371
689,VAUXHALL,1,14,North West,2,1598,2002,1680,197,0.357,0.029,,0.044,0.497692465
548,FORD,1,13,London,2,1299,2002,965,163,0.66,0.037,,0.09,0.517541104
1228,VAUXHALL,1,96,London,2,1796,2002,2000,219,0.486,0.013,,0.037,0.821360862
1929,VOLKSWAGEN,2,14,London,2,1968,2016,1394,119,0.079,0.063,,,0.697928685
1438,VAUXHALL,1,14,South West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.682627018
1857,VAUXHALL,2,14,South West,5,1598,2016,1462,134,0.058,0.054,,,0.618090856
886,BMW,1,2,North West,2,1995,2002,1395,175,0.852,0.05,,0.102,0.602964627
2573,TOYOTA,8,96,London,5,1798,2016,1605,96,0.1,0.006,,0.013,0.542202024
2180,VAUXHALL,2,13,South West,5,1598,2016,1503,115,0.204,0.043,,,0.56333032
412,VAUXHALL,1,14,South West,2,1598,2002,1660,171,0.695,0.019,,0.054,0.363691015
1736,VAUXHALL,1,13,North West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.278611814
3471,BMW,2,2,North West,5,1995,2016,1495,109,0.312,0.042,,,0.781646417
1691,VAUXHALL,1,14,North West,5,1398,2016,1163,118,0.463,0.01,,0.031,0.053120137
2039,FORD,1,14,London,5,998,2016,1177,99,0.355,0.041,0.001,0.067,0.286750115
1156,VOLKSWAGEN,1,14,London,2,1390,2002,1181,156,0.165,0.047,,0.075,0.380840503
3406,FORD,1,13,North West,4,998,2016,1176,99,0.355,0.041,0.001,0.067,0.041324793
3050,FORD,2,14,North West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.384706738
2168,VAUXHALL,1,13,South West,1,1398,2016,1141,120,0.463,0.01,,0.031,0.950328848
420,BMW,1,4,South West,1,2494,2002,1615,230,0.494,0.017,,0.079,0.049910152
586,TOYOTA,1,13,London,2,1598,2002,1280,168,0.55,0.03,,0.06,0.730101455
790,FORD,1,13,South West,2,1299,2002,965,163,0.66,0.037,,0.09,0.769434738
447,FORD,1,14,North West,2,1596,2002,1167,165,0.518,0.059,,0.115,0.215233774
3293,BMW,1,5,North West,1,2979,2016,1615,194,0.139,0.035,,0.035,0.807903301
2730,FORD,1,13,North West,2,1242,2016,989,115,0.362,0.024,,0.043,0.800253315
588,BMW,1,3,London,1,2979,2002,0,230,0.447,,,,0.24432118
737,BMW,2,13,North West,1,1995,2002,1505,185,0.203,0.375,0.036,,0.900482414
2274,VOLKSWAGEN,2,6,South West,5,1968,2016,1503,110,0.137,0.067,,,0.773146873
908,FORD,1,14,London,1,1388,2002,1097,158,0.562,0.026,,0.08,0.79756985
3452,VAUXHALL,1,14,South West,1,999,2016,1263,102,0.328,0.026,0.002,0.028,0.553540345
3446,VOLKSWAGEN,1,14,South West,2,1395,2016,1247,122,0.158,0.034,,0.028,0.48362646
2743,VAUXHALL,2,14,South West,5,1598,2016,1462,134,0.058,0.054,,,0.135205369
2335,BMW,2,14,London,5,1496,2016,1395,106,0.172,0.028,,,0.068868127
3331,VOLKSWAGEN,1,6,London,5,1984,2016,1574,162,0.609,0.047,,0.06,0.476065485
2364,BMW,1,5,South West,5,1998,2016,1565,151,0.221,0.019,,0.054,0.314780936
1493,BMW,1,4,London,2,1998,2016,1790,144,0.151,0.025,,0.04,0.852431653
921,BMW,1,2,London,1,2171,2002,1600,237,0.832,0.005,,0.091,0.263853783
3523,VOLKSWAGEN,1,14,South West,2,1197,2016,1107,107,0.157,0.039,,0.022,0.824194233
3239,FORD,2,14,South West,5,1997,2016,1681,122,0.145,0.059,0.001,,0.304670221
1949,FORD,1,96,London,5,1596,2016,1431,149,0.342,0.051,,0.056,0.371104434
2662,BMW,2,5,London,1,2993,2016,1680,139,0.25,0.058,,,0.871149863
